Economy ISO3,Economy Name,Indicator ID,Indicator,Attribute 1,Attribute 2,Attribute 3,Partner,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,Aruba,YALE.EPI.BCA,Environmental Performance Index: Adjusted emissions growth rate for black carbon,-,-,-,-,100,100,100,100,100,94.04,69.39,73.56,77.81,65.6,54.04,44.15,18.11,34.23,36.75,32.27,58.01,63.34,64.02,60.39,65.89,68.86,63.7,65.09,58.52,58.52,58.52,58.52
ABW,Aruba,YALE.EPI.BHV,Environmental Performance Index: Biodiversity Habitat Index,-,-,-,-,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91
ABW,Aruba,YALE.EPI.CDA,Environmental Performance Index: Adjusted emissions growth rate for carbon dioxide,-,-,-,-,10.59,10.59,10.59,10.59,10.59,0,0,0,0,0,0,0,0,0,39.77,44.83,49.86,53.18,63.76,81.12,100,100,100,100,100,100,100,100
ABW,Aruba,YALE.EPI.CHA,Environmental Performance Index: Adjusted emissions growth rate for methane,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,36.09,62.92,92.61,99.98,100,100,93.65,72.62,66.94,70.99,85.83,100,100,100,100,100,100
ABW,Aruba,YALE.EPI.COE,Environmental Performance Index: CO exposure,-,-,-,-,80.19,80.19,80.19,80.19,80.19,80.19,80.19,80.19,80.19,82.07,79.49,83.39,81.99,84.97,87.29,81.94,84.83,85.4,84.92,88.17,85.51,84.52,82.91,86.9,86.36,86.36,86.36,86.36
ABW,Aruba,YALE.EPI.GHN,Environmental Performance Index: Projected GHG Emissions in 2050,-,-,-,-,72.99,72.99,72.99,72.99,72.99,60.89,57.73,56,54.68,54.2,54.14,55.1,56.54,60.14,67,69.71,71.78,80.68,100,100,100,100,100,100,100,100,100,100
ABW,Aruba,YALE.EPI.GHP,Environmental Performance Index: Greenhouse gas emissions per capita,-,-,-,-,28.68,28.72,27.6,26.11,26.21,0,0,0,0,0,0,0,0,0,0,0,0,16.93,30.22,30.11,29.53,30.29,29.01,28.24,27.33,27.33,27.33,27.33
ABW,Aruba,YALE.EPI.GIB,Environmental Performance Index: Greenhouse gas intensity growth rate,-,-,-,-,11.72,11.72,11.72,11.72,11.72,0,0,0,0,0,0,0,0,0,24.74,27.48,30.64,65.79,100,100,100,100,100,100,100,100,100,100
ABW,Aruba,YALE.EPI.GRL,Environmental Performance Index: Grassland loss,-,-,-,-,100,100,100,45.15,45.15,45.15,45.15,45.15,100,100,100,100,100,100,45.15,45.15,30.83,25.04,7.26,0,0,0,0,0,6.49,7.53,7.53,7.53
ABW,Aruba,YALE.EPI.MPA,Environmental Performance Index: Marine protected areas,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
