Series Name,Series Code,Country Name,Country Code,2021 [YR2021]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,355.777826392648
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,6377.20309553753
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,3700.31469728198
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,16653.7137781725
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,42072.3194231234
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,1927.47407832091
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,17178.5437160522
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,10650.8604604345
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,4972.78320361917
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,29127.7593841909
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,60697.2454358579
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,53517.8904509612
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,5408.04535175023
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,28260.4325506367
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,26850.0033915702
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,2457.92403936141
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,17507.4679943101
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,7489.71894713888
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,51850.3971840229
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,6060.96822340845
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1360.91147421492
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,111774.669092278
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,3560.19770457687
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3345.02300226194
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,7230.19883771887
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,7238.79609753108
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,7696.78483012849
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,31448.9127482937
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,12219.3418706779
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,888.781078836766
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,221.157803430781
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3398.16537614695
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1625.23502147979
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1654.25703730592
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,52515.1998350503
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,88475.600468094
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,461.137510956047
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,685.690315037547
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,67960.7269955768
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,16240.6077759729
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,12617.5051041181
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,6182.70709867964
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1577.47084066126
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,576.974729394136
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,2540.47321153317
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,12604.0488374731
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,2613.3788930684
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,17809.0323901126
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,17979.9982909306
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,32745.84375
GDP per capita (current US$),NY.GDP.PCAP.CD,Czechia,CZE,26822.5141862111
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,69268.6517983134
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,3062.55148207643
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,7668.15813216962
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,8476.74963892506
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,5965.13287054416
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,3886.7224983901
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,4664.31122268385
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,7406.08497479348
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,27943.701219882
GDP per capita (current US$),NY.GDP.PCAP.CD,Eswatini,SWZ,4068.57381550966
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,925.00069759158
GDP per capita (current US$),NY.GDP.PCAP.CD,Faroe Islands,FRO,69108.2065823035
GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FJI,4656.05134145
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,53504.6936483441
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,43671.3084099631
GDP per capita (current US$),NY.GDP.PCAP.CD,French Polynesia,PYF,20230.2410482554
GDP per capita (current US$),NY.GDP.PCAP.CD,Gabon,GAB,8635.7971442819
GDP per capita (current US$),NY.GDP.PCAP.CD,"Gambia, The",GMB,772.151450503284
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,5023.27438368985
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,51426.7503654421
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,2422.08591285021
GDP per capita (current US$),NY.GDP.PCAP.CD,Gibraltar,GIB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,20310.6824798873
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,57116.295770722
GDP per capita (current US$),NY.GDP.PCAP.CD,Grenada,GRD,9010.5127999358
GDP per capita (current US$),NY.GDP.PCAP.CD,Guam,GUM,35904.8635462723
GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GTM,5029.47755484093
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,1189.17599945874
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,795.118605039186
GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,GUY,9994.64570422569
GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HTI,1823.74222445285
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,2771.72265387572
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,49764.793115622
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,18753.0469453539
