,Total greenhouse gas emissions,,Carbon dioxide emissions,,Methane emissions,,Nitrous oxide emissions,
,,,Total,,,,,
,thousand metric tons of carbon dioxide equivalent,,thousand metric tons,,thousand metric tons of carbon dioxide equivalent,,thousand metric tons of carbon dioxide equivalent,
,Total greenhouse gas emissions 2015,Total greenhouse gas emissions 2020,Carbon dioxide emissions 2015,Carbon dioxide emissions 2020,Methane emissions 2015,Methane emissions 2020,Nitrous oxide emissions 2015,Nitrous oxide emissions 2020
Afghanistan,31619.07371,31119.04539,10057.59,8709.47,15943.92618,16222.03596,5057.086341,4863.386801
Albania,9408.765344,8304.29494,4797,4383.2,3105.39582,2692.195886,1193.30493,1015.186729
Algeria,261745.2952,266702.6795,156273,161563,88228.59828,86543.92362,12313.7395,12578.7476
American Samoa,..,..,..,..,..,..,..,..
Andorra,579.22902,577.573639,465.328,448.884399,51.6747,53.600959,1.758811,1.758811
Angola,88673.04141,70781.0562,31648.9,19814.5,38455.63556,32703.23811,18238.39278,17757.86784
Antigua and Barbuda,1085.816188,1203.631334,490.2,474.6,196.563656,204.865822,12.393311,11.763473
Argentina,372415.2067,361433.0173,185550,154535.9,124872.4333,131035.6894,43040.15198,51061.49889
Armenia,9155.78308,10422.04117,5343.4,6746.6,2466.930202,2319.921617,1085.27768,1173.579946
Aruba,..,..,..,..,..,..,..,..
Australia,622092.6414,571903.1199,385782.4,378996.8,151225.3204,131484.7632,71867.32307,49331.81586
Austria,76429.62374,71017.8287,63254.7,59142.4,7391.89149,6863.078458,4019.4351,3759.74089
Azerbaijan,52141.63798,55351.99383,31773.3,34305,15854.2904,15733.13101,4097.544323,4793.554747
"Bahamas, The",2513.101709,2801.144379,2207.4,2456,209.089179,223.17922,28.885742,33.819566
Bahrain,48874.34031,54151.41004,30492.4,32470.2,15890.96719,17641.43403,147.957117,171.638398
Bangladesh,187771.298,206570.3527,73156.9,85493.1,86144.75118,88903.99717,26675.21757,28076.84646
Barbados,3742.935393,3656.467698,1269.57,1096.07,2323.977256,2359.570952,38.380138,38.47874
Belarus,88193.48911,87868.32147,54871.3,54801.5,17232.56776,17079.26291,16010.39941,15902.54152
Belgium,111403.0469,100063.4878,95096,85364.1,8528.701682,7974.086619,4791.305948,4564.196311
Belize,1449.138697,1573.319685,675.1,687.6,461.136983,514.044829,199.496969,205.409043
Benin,12117.32083,16190.53196,5505.6,7980.4,3531.217701,4029.619412,2337.475766,3007.644632
Bermuda,..,..,..,..,..,..,..,..
Bhutan,1661.129528,1630.8557,1042.1,1035.2,490.995476,451.523887,103.859937,97.265439
Bolivia,54381.51228,55203.08943,20002.9,18375.3,25522.23148,26597.78542,8586.964037,9838.142418
Bosnia and Herzegovina,24906.99761,26053.3501,19629,20946.8,3597.319799,3660.954549,1486.454,1283.7036
Botswana,12082.93249,12374.76398,6949.712,5763.687,2891.961752,3434.49382,2099.465804,2963.633551
Brazil,1105478.108,1064709.126,485344.1,414138.8,440618.0569,449213.973,171295.0848,191103.2517
Brunei Darussalam,8467.041421,11914.03262,6397.7,9588,1668.833316,1538.873884,121.10741,137.896432
Bulgaria,57320.00702,46492.85461,44556.5,34138.1,7412.594185,6980.496622,4104.06579,4328.729643
Burkina Faso,27368.07335,32262.81629,3801.8,5456.7,13619.6317,15408.27314,9099.87325,10060.67193
Burundi,3247.309761,4102.678292,366.8,713.466,1161.346382,1258.19152,1406.123927,1636.389411
Cabo Verde,673.154746,791.61071,499.9,620.6,94.406878,93.207601,66.578845,59.475638
Cambodia,31144.32717,42363.17878,8432.6,18652.8,17666.30835,17836.42554,4584.257925,4784.592654
Cameroon,89900.98421,93348.64392,8500.2,9928.4,17335.17774,17797.74545,62008.80076,62399.45337
Canada,708799.9174,677709.2227,558747.2,516873.7,93503.18789,100143.3855,44128.62411,47080.30993
Cayman Islands,..,..,..,..,..,..,..,..
Central African Republic,21002.90194,21016.37573,184.4,236.6,10047.98904,10108.5047,10741.57454,10628.57907
Chad,69860.08103,89558.45681,1478.55,1568.4,46475.45086,59438.92298,21383.52442,27724.59116
Channel Islands,..,..,..,..,..,..,..,..
Chile,102210.7159,106722.3342,82260.4,84827.8,10595.63907,11795.5356,6880.639323,6599.431802
China,11804696.79,12942868.34,9859281.2,10944686.2,1147403.83,1186285.181,549580.0712,536920.2103
"Hong Kong SAR, China",..,..,..,..,..,..,..,..
"Macao SAR, China",..,..,..,..,..,..,..,..
Colombia,175033.6574,186999.3355,81017.2,79057.6,69476.75694,77156.40012,19572.09792,23778.21405
Comoros,476.310008,619.946774,185.9,328.2,238.401798,236.81787,46.786,46.8158
"Congo, Dem. Rep.",52645.93945,56120.40776,3231.4,3025.6,33015.38321,35684.20937,14836.04045,14960.56584
"Congo, Rep.",15852.59287,19421.77959,5655,7153.9,7983.838164,9957.260368,1769.782261,1610.016398
Costa Rica,14296.03177,14405.0866,7537.9,6967.4,4343.133755,4650.441149,1790.451012,1875.797079
Cote d'Ivoire,22619.38655,26412.28115,9805.7,10894.9,7266.493269,7980.365269,3024.478764,3544.205981
Croatia,22609.48542,21379.32606,16602.3,15626.9,3738.489602,3668.675985,1842.177293,1773.064923
Cuba,44506.83057,38558.67367,29209.8,24327.8,11230.41541,10377.33169,3612.074614,3195.025202
Curacao,..,..,..,..,..,..,..,..
Cyprus,8213.804434,8109.206812,6851.9,6771.8,709.142413,749.702555,353.516872,371.65818
Czechia,122514.148,108308.4176,101167.5,88835.2,12762.36222,12381.5937,5579.439977,4755.494158
Denmark,48303.77416,41135.55451,33704.9,27356.5,8434.565215,7778.773921,5439.711329,5492.825727
Djibouti,1382.482818,1394.763044,446.55,427.7,645.523083,659.922854,259.348407,259.183065
Dominica,247.524891,230.526372,180.9,162.8,43.012845,43.872314,21.426123,20.527631
Dominican Republic,36494.27567,37052.66519,23590.5,22881.3,8738.438806,9243.113873,3116.959521,3395.510707
Ecuador,75114.76093,68056.47202,41390.3,34431,28218.63366,27460.31312,4836.405076,5192.81053
"Egypt, Arab Rep.",316217.8249,299778.6515,226283.6,210752.3,64380.5033,64402.91925,22360.49674,20471.52798
El Salvador,12218.54067,11063.80963,6997.6,6376.3,3692.573826,3269.495506,1251.995879,1015.746685
Equatorial Guinea,12673.56899,9542.961347,5494.2,4350.4,6904.09323,4778.315427,34.344039,33.339292
Eritrea,5864.299964,6242.48957,570.9,706.4,3580.492913,3732.241915,1665.954003,1730.462791
Estonia,17592.51222,10198.8019,14377.1,7097.52,1170.396426,1097.115979,1819.596212,1827.193979
Ethiopia,136449.738,167300.0199,13046.3,18098,78962.41308,94645.58072,43929.57877,53761.30355
Faroe Islands,..,..,..,..,..,..,..,..
Fiji,1874.148768,1764.367631,1263.8,1028.2,372.090793,443.648987,173.986207,191.232612
Finland,55210.20911,47740.49323,42815.4,36329.9,5125.089219,4506.322031,5819.758209,5877.063898
France,433262.6025,376006.2454,311175.4,267154.7,62911.28474,58451.48747,39512.41519,36202.71508
French Polynesia,..,..,..,..,..,..,..,..
Gabon,15883.7891,14849.25845,6115.8,5349.2,8249.887272,7451.56422,551.052993,523.122457
"Gambia, The",2404.624162,2453.329037,585.9,611.4,1394.111976,1346.288478,337.9022,359.1794
Georgia,17142.29722,17669.44862,9399.4,10255,5512.941635,5133.092908,2066.362429,2158.298117
Germany,845437.6348,692750.7552,742314.4,603350.5,52526.91041,46917.60037,38498.26729,33815.1086
Ghana,30251.44399,39070.28751,14320.7,19401.16,9825.823261,11847.91345,5171.045024,6369.119051
Greece,88528.37065,69283.30669,68010.2,51002.2,9928.525996,9405.825274,4565.368038,4423.24792
Greenland,..,..,..,..,..,..,..,..
Grenada,2293.205796,2397.288523,272.6,324.5,2000.694236,2046.858118,7.371987,7.639008
Guam,..,..,..,..,..,..,..,..
Guatemala,30899.84197,33165.68015,16455.9,16865.2,9416.737734,10598.09932,4681.155058,5199.301551
Guinea,22730.85844,29745.6922,2522.3,4537.9,13816.77721,16813.30155,5396.568549,6822.434916
