country,region,forest_area,freshwater,gdp_per_capita,paris_agreement,unfccc,hdi,cooking_clean_fuel_and_technologies_access,renewable_energy_consumption,co2_emissions,methane_emissions,nitrous_oxide_emissions
Algeria,African Group,1949.0,11.2,3700.31469728198,1.0,1993.0,0.745,99.7,0.2,161563.0,86543.92362,12578.7476
Angola,African Group,66607.38,148.0,1927.47407832091,1.0,2000.0,0.591,50.0,61.0,19814.5,32703.23811,17757.86784
Benin,African Group,3135.15,10.3,1360.91147421492,1.0,1994.0,0.504,4.6,46.2,7980.4,4029.619412,3007.644632
Botswana,African Group,15254.7,2.4,7238.79609753108,1.0,1994.0,0.708,65.7,27.2,5763.687,3434.49382,2963.633551
Burkina Faso,African Group,6216.4,12.5,888.781078836766,1.0,1993.0,0.438,11.7,67.5,5456.7,15408.27314,10060.67193
Burundi,African Group,279.64,10.1,221.157803430781,1.0,1997.0,0.42,0.2,83.5,713.466,1258.19152,1636.389411
Cabo Verde,African Group,45.72,0.3,3398.16537614695,1.0,1995.0,0.661,81.8,23.4,620.6,93.207601,59.475638
Cameroon,African Group,20340.48,273.0,1654.25703730592,1.0,1994.0,0.587,22.8,78.9,9928.4,17797.74545,62399.45337
Central African Republic,African Group,22303.0,141.0,461.137510956047,1.0,1995.0,0.387,0.9,90.9,236.6,10108.5047,10628.57907
Chad,African Group,4313.0,15.0,685.690315037547,1.0,1994.0,0.394,8.0,73.6,1568.4,59438.92298,27724.59116
Comoros,African Group,32.92,1.2,1577.47084066126,1.0,1994.0,0.586,11.3,48.3,328.2,236.81787,46.8158
Congo,African Group,21946.0,222.0,2540.47321153317,1.0,1996.0,0.593,35.6,71.9,7153.9,9957.260368,1610.016398
Côte d’Ivoire,African Group,2836.71,76.8,2613.3788930684,1.0,1994.0,0.534,31.7,63.3,10894.9,7980.365269,3544.205981
Democratic Republic of the Congo,African Group,126155.24,900.0,576.974729394136,1.0,1995.0,0.481,4.3,96.2,3025.6,35684.20937,14960.56584
Djibouti,African Group,5.8,0.3,3062.55148207643,1.0,1995.0,0.515,9.6,31.9,427.7,659.922854,259.183065
