country,forest_area,freshwater,paris_agreement,years_since_unfccc,hdi,renewable_energy_consumption,total_greenhouse_gas_emission,region
Algeria,0.82,11.2,1.0,31.0,0.745,0.2,260685.67122000002,African Group
Angola,53.43,148.0,0.0,24.0,0.591,61.0,70275.60595,African Group
Benin,27.8,10.3,1.0,30.0,0.504,46.2,15017.664044,African Group
Botswana,26.92,2.4,1.0,30.0,0.708,27.2,12161.814371,African Group
Burkina Faso,22.72,12.5,1.0,31.0,0.438,67.5,30925.64507,African Group
Burundi,10.89,10.1,0.0,27.0,0.42,83.5,3608.0469310000003,African Group
Cabo Verde,11.34,0.3,1.0,29.0,0.661,23.4,773.283239,African Group
Cameroon,43.03,273.0,1.0,30.0,0.587,78.9,90125.59882,African Group
Central African Republic,35.8,141.0,1.0,29.0,0.387,90.9,20973.68377,African Group
Chad,3.43,15.0,1.0,30.0,0.394,73.6,88731.91414000001,African Group
Comoros,17.7,1.2,1.0,30.0,0.586,48.3,611.83367,African Group
Congo,64.26,222.0,1.0,28.0,0.593,71.9,18721.176765999997,African Group
Côte d’Ivoire,8.92,76.8,1.0,30.0,0.534,63.3,22419.47125,African Group
Democratic Republic of the Congo,55.65,900.0,1.0,29.0,0.481,96.2,53670.37521,African Group
Djibouti,0.25,0.3,1.0,29.0,0.515,31.9,1346.805919,African Group
Egypt,0.05,1.0,1.0,30.0,0.728,6.5,295626.74723,African Group
Equatorial Guinea,87.29,26.0,1.0,24.0,0.65,7.0,9162.054719,African Group
Eritrea,10.45,2.8,0.0,29.0,0.493,80.9,6169.104706,African Group
Ethiopia,15.24,122.0,1.0,30.0,0.492,89.5,166504.88426999998,African Group
Gabon,91.32,164.0,1.0,26.0,0.693,90.1,13323.886677,African Group
Gambia,23.98,3.0,1.0,30.0,0.495,49.7,2316.867878,African Group
Ghana,35.1,30.3,1.0,29.0,0.602,40.3,37618.192501,African Group
Guinea,25.19,226.0,1.0,31.0,0.471,65.8,28173.636465999996,African Group
Guinea-Bissau,70.41,16.0,1.0,29.0,0.483,87.2,2355.9776190000002,African Group
Kenya,6.34,20.7,1.0,30.0,0.601,72.5,78018.33186,African Group
Lesotho,1.14,5.2,1.0,29.0,0.521,41.4,3848.591561,African Group
Liberia,79.08,200.0,1.0,22.0,0.487,93.0,1813.6708390000001,African Group
Libya,0.12,0.7,0.0,25.0,0.746,3.1,70297.772547,African Group
Madagascar,21.36,337.0,1.0,25.0,0.487,84.8,29432.757249000002,African Group
Malawi,23.78,16.1,1.0,30.0,0.508,70.3,11084.555339,African Group
Mali,10.9,60.0,1.0,30.0,0.41,63.8,42308.08295,African Group
Mauritania,0.3,0.4,1.0,30.0,0.54,23.8,14017.184358,African Group
Mauritius,19.1,2.8,1.0,32.0,0.796,9.4,5915.795287999999,African Group
Morocco,12.87,29.0,1.0,29.0,0.698,10.9,87442.938802,African Group
Mozambique,46.73,100.3,1.0,29.0,0.461,80.9,32800.698461,African Group
Namibia,8.06,6.2,1.0,29.0,0.61,31.3,13209.645547,African Group
Niger,0.85,3.5,1.0,29.0,0.394,81.9,44023.20363,African Group
Nigeria,23.75,221.0,1.0,30.0,0.548,82.5,304234.17718,African Group
Rwanda,11.19,9.5,1.0,26.0,0.548,81.7,6069.135704,African Group
Sao Tome and Principe,54.06,2.2,1.0,25.0,0.613,41.6,170.13039,African Group
Senegal,41.91,25.8,1.0,30.0,0.517,38.6,28466.228496000003,African Group
Seychelles,73.26,220.98007387579747,1.0,32.0,0.802,1.3,697.4353350000001,African Group
Sierra Leone,35.12,160.0,1.0,29.0,0.458,75.1,5768.621037999999,African Group
Somalia,9.53,6.0,1.0,15.0,0.38,95.5,25961.407449,African Group
South Africa,14.06,44.8,1.0,27.0,0.717,9.8,483447.80227999995,African Group
South Sudan,11.33,26.0,0.0,10.0,0.381,33.2,55946.88077999999,African Group
Sudan,9.84,4.0,1.0,31.0,0.516,62.1,105984.23070000001,African Group
Eswatini,28.93,2.6,1.0,28.0,0.61,66.0,2897.278828,African Group
Togo,22.23,11.5,1.0,29.0,0.547,76.6,7398.63638,African Group
