rank,country,environmental_score,socioeconomic_score,governance_score,lcdci_score
1.0,Norway,0.8848726441171573,0.966,0.9826086956521739,0.9275124090151003
2.0,Sweden,0.8946506199910313,0.952,0.9826086956521739,0.9271513969520374
3.0,Iceland,0.8876880359378476,0.959,0.9826086956521739,0.9262951049254455
4.0,Finland,0.8852228922721549,0.942,0.9652173913043478,0.9165136200491208
5.0,Liechtenstein,0.8794806233798661,0.942,0.9652173913043478,0.9136424856029766
6.0,Switzerland,0.8416122042402365,0.967,0.9826086956521739,0.90625718907664
7.0,Denmark,0.8464406992513474,0.952,0.9826086956521739,0.9030464365821954
8.0,New Zealand,0.8469454680390542,0.939,0.9826086956521739,0.8984238209760488
9.0,Austria,0.8575485076233412,0.926,0.9652173913043478,0.8966764277247141
10.0,Slovenia,0.8540521338904659,0.926,0.9478260869565217,0.8927543278147981
11.0,Estonia,0.8698512325854547,0.899,0.9652173913043478,0.8927027902057709
12.0,Canada,0.8276607205575236,0.935,1.0,0.8894553602787618
13.0,Luxembourg,0.8398132585403292,0.927,0.9652173913043478,0.8881838031832081
14.0,Ireland,0.816802404654295,0.95,0.9652173913043478,0.885303376240191
15.0,Latvia,0.8731253389268712,0.879,0.9478260869565217,0.8846659303330008
16.0,Netherlands,0.8072397638248391,0.946,0.9826086956521739,0.8811959688689414
17.0,Belgium,0.818392948737475,0.942,0.9304347826086956,0.8787508221948244
18.0,Spain,0.8235965937088399,0.911,0.9826086956521739,0.8762493838109416
19.0,Germany,0.7938799996652229,0.95,0.9826086956521739,0.8760160867891332
20.0,Portugal,0.847949495260635,0.874,0.9826086956521739,0.8745508345868392
21.0,Australia,0.7892759048113367,0.946,1.0,0.8743879524056684
22.0,Singapore,0.8085128288550398,0.949,0.9130434782608696,0.8742618492101286
23.0,United Kingdom of Great Britain and Northern Ireland,0.7976607560518373,0.94,0.9826086956521739,0.8741564649824404
24.0,Lithuania,0.8499031234420868,0.879,0.9478260869565217,0.8730548225906086
25.0,Czechia,0.828892908132019,0.895,0.9826086956521739,0.8728975410225313
26.0,Greece,0.8328506887869755,0.893,0.9652173913043478,0.8719525183065313
27.0,Republic of Korea,0.7994315830451131,0.929,0.9826086956521739,0.8709168784790783
28.0,Croatia,0.8504691765053204,0.878,0.9304347826086956,0.8707889360787471
29.0,Malta,0.8101855105751421,0.915,0.9652173913043478,0.8688699292006146
30.0,Italy,0.8161989254907231,0.906,0.9652173913043478,0.8685016366584051
31.0,France,0.8126602685572741,0.91,0.9652173913043478,0.8682323081916805
32.0,Cyprus,0.8246855574024512,0.907,0.9130434782608696,0.8665982134838344
33.0,Uruguay,0.86808085159258,0.83,0.9652173913043478,0.8659425997093335
34.0,Chile,0.8416244224024971,0.86,0.9652173913043478,0.8639643851142921
35.0,United Arab Emirates,0.7876431151844796,0.937,0.9478260869565217,0.863674818461805
36.0,Israel,0.8046690266720146,0.915,0.9304347826086956,0.8617638611620944
37.0,Slovakia,0.8367298258922253,0.855,0.9652173913043478,0.8596420868591561
38.0,Japan,0.7809076732292317,0.92,0.9826086956521739,0.8582799235711377
39.0,Costa Rica,0.8684951994728354,0.806,0.9652173913043478,0.8571497736494612
40.0,Poland,0.8121643749141985,0.881,0.9652173913043478,0.8571093613701427
41.0,Panama,0.8588200055571804,0.82,0.9478260869565217,0.8553882636481555
