country,forest_area,freshwater,paris_agreement,years_since_unfccc,hdi,renewable_energy_consumption,total_greenhouse_gas_emission,region
Algeria,0.008418026896622523,0.0019784490372725667,1.0,0.9565217391304348,0.745,0.002079002079002079,0.020576940948157648,African Group
Angola,0.5485063135201724,0.026143790849673203,0.0,0.6521739130434783,0.591,0.6340956340956341,0.005545997655825969,African Group
Benin,0.28539164356842217,0.0018194665253488784,1.0,0.9130434782608695,0.504,0.4802494802494803,0.0011839436327768732,African Group
Botswana,0.2763576634842419,0.0004239533651298357,1.0,0.9130434782608695,0.708,0.2827442827442827,0.0009585032684483485,African Group
Burkina Faso,0.23324094035519966,0.002208090443384561,1.0,0.9565217391304348,0.438,0.7016632016632016,0.0024397173775011103,African Group
Burundi,0.11179550354173085,0.0017841370782547253,0.0,0.782608695652174,0.42,0.867983367983368,0.00028327009133599277,African Group
Cabo Verde,0.11641515244841392,5.299417064122946e-05,1.0,0.8695652173913043,0.661,0.24324324324324323,5.94942513288308e-05,African Group
Cameroon,0.44174109434349657,0.04822469528351881,1.0,0.9130434782608695,0.587,0.8201663201663202,0.00711295325115692,African Group
Central African Republic,0.3675187352427882,0.02490726020137785,1.0,0.8695652173913043,0.387,0.9449064449064449,0.001654110977252963,African Group
Chad,0.03521199055538446,0.002649708532061473,1.0,0.9130434782608695,0.394,0.765072765072765,0.007002935982044772,African Group
Comoros,0.18170619032953494,0.00021197668256491784,1.0,0.9130434782608695,0.586,0.502079002079002,4.674944546591965e-05,African Group
Congo,0.6596858638743456,0.0392156862745098,1.0,0.8260869565217391,0.593,0.7474012474012475,0.0014762983968376654,African Group
Côte d’Ivoire,0.09157170721691818,0.013566507684154742,1.0,0.9130434782608695,0.534,0.6580041580041579,0.0017682412339378078,African Group
Democratic Republic of the Congo,0.5712965814598091,0.1589825119236884,1.0,0.8695652173913043,0.481,1.0,0.004235183118500418,African Group
Djibouti,0.0025664716148239403,5.299417064122946e-05,1.0,0.8695652173913043,0.515,0.3316008316008316,0.00010476804957958062,African Group
Egypt,0.000513294322964788,0.0001766472354707649,1.0,0.9130434782608695,0.728,0.06756756756756757,0.023335184486043287,African Group
